Time,Ultrasonic_p2_01,Ultrasonic_p2_02,Ultrasonic_p2_03,Ultrasonic_p2_04,Ultrasonic_p2_05,Ultrasonic_p2_06,Ultrasonic_p2_07,Ultrasonic_p2_08,Ultrasonic_p2_09,Ultrasonic_p2_10,Ultrasonic_p2_11,Ultrasonic_p2_12,Ultrasonic_p2_13,Ultrasonic_p2_14,Ultrasonic_p2_15,Ultrasonic_p2_16,Ultrasonic_p2_17
0.000,6.300,6.300,6.300,6.300,6.300,6.300,6.300,6.300,6.300,6.300,6.300,6.300,6.300,6.300,6.300,6.300,72.200,
0.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,74.800,
0.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,74.800,
0.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,58.800,
0.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
0.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
0.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
0.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
0.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
0.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
1.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
1.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
1.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
1.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
1.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
1.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
1.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
1.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
1.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
1.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
2.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
2.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
2.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
2.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
2.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
2.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
2.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
2.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
2.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
2.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
3.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
3.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
3.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
3.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
3.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
3.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
3.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
3.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
3.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
3.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
4.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
4.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
4.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
4.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
4.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
4.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,57.200,
4.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,58.000,
4.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,58.000,
4.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,58.000,
4.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,58.000,
5.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.300,58.000,
5.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.000,
5.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.000,
5.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.000,
5.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.100,
5.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.100,
5.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.100,
5.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.100,
5.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.100,
5.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
6.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
6.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
6.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
6.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
6.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
6.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
6.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
6.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
6.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
6.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
7.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
7.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
7.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
7.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
7.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
7.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
7.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
7.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
7.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
7.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
8.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
8.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
8.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
8.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
8.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
8.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
8.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
8.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
8.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
8.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
9.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
9.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
9.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
9.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
9.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
9.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
9.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
9.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.100,
9.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.100,
9.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.100,
10.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.100,
10.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.100,
10.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.100,
10.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.500,
10.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.500,
