Time,Ultrasonic_p2_01
0.000,102.400,
0.100,102.000,
0.200,102.400,
0.300,102.400,
0.400,102.400,
0.500,102.400,
0.600,102.000,
0.700,102.400,
0.800,102.400,
0.900,102.800,
1.000,102.400,
1.100,102.400,
1.200,102.800,
1.300,102.800,
1.400,102.800,
1.500,102.400,
1.600,102.800,
1.700,102.800,
1.800,102.800,
1.900,102.800,
2.000,102.400,
2.100,102.400,
2.200,102.400,
2.300,102.400,
2.400,102.000,
2.500,102.400,
2.600,102.400,
2.700,102.400,
2.800,102.400,
2.900,102.400,
3.000,102.400,
3.100,102.000,
3.200,102.000,
3.300,102.400,
3.400,102.400,
3.500,102.400,
3.600,102.000,
3.700,102.000,
3.800,102.000,
3.900,102.400,
4.000,102.400,
4.100,102.400,
4.200,102.000,
4.300,102.000,
4.400,102.000,
4.500,102.400,
4.600,102.000,
4.700,102.000,
4.800,102.000,
4.900,102.400,
5.000,102.000,
5.100,102.000,
5.200,102.400,
5.300,102.400,
5.400,102.400,
5.500,102.400,
5.600,102.400,
5.700,102.400,
5.800,102.400,
5.900,102.800,
6.000,102.800,
6.100,102.800,
6.200,103.200,
6.300,102.800,
6.400,102.800,
6.500,102.400,
6.600,102.800,
6.700,102.800,
6.800,102.800,
6.900,102.800,
7.000,102.800,
7.100,102.800,
7.200,103.700,
7.300,103.700,
7.400,103.700,
7.500,105.400,
7.600,102.300,
7.700,103.000,
7.800,104.200,
7.900,103.100,
8.000,103.100,
8.100,255.000,
8.200,105.400,
8.300,255.000,
8.400,255.000,
8.500,103.000,
8.600,103.100,
8.700,103.100,
8.800,103.000,
8.900,104.200,
9.000,103.100,
9.100,103.800,
9.200,103.000,
9.300,103.800,
9.400,103.700,
9.500,103.800,
9.600,103.100,
9.700,83.400,
9.800,104.600,
9.900,229.800,
10.000,255.000,
10.100,103.100,
10.200,103.700,
10.300,103.000,
10.400,103.000,
10.500,103.800,
10.600,255.000,
10.700,255.000,
10.800,103.800,
10.900,104.600,
11.000,103.800,
11.100,103.100,
11.200,103.100,
11.300,103.100,
11.400,104.200,
11.500,104.200,
11.600,103.800,
11.700,104.200,
11.800,104.500,
11.900,104.500,
12.000,103.100,
12.100,104.500,
12.200,105.200,
12.300,103.800,
12.400,104.200,
12.500,255.000,
12.600,103.600,
12.700,105.000,
12.800,103.800,
12.900,103.100,
13.000,105.000,
